customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
CUST-00035,Male,0,Yes,No,44,Yes,No phone service,No,No,Yes,No,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,26.93,1230.81,No
CUST-00036,Female,0,No,Yes,36,Yes,No phone service,Fiber optic,No,No,No,No,No internet service,No internet service,Two year,No,Mailed check,42.19,1579.13,No
CUST-00037,Female,0,Yes,No,35,Yes,No phone service,DSL,No,No internet service,No internet service,Yes,No internet service,No,Month-to-month,Yes,Bank transfer (automatic),47.09,1482.57,Yes
CUST-00038,Male,0,No,Yes,23,Yes,Yes,No,No,No internet service,No,No,No,Yes,Month-to-month,No,Electronic check,75.52,1716.52,Yes
CUST-00039,Male,0,No,No,57,Yes,No,DSL,No,Yes,No,Yes,No,Yes,One year,No,Mailed check,30.96,1707.14,No
CUST-00040,Male,0,Yes,No,28,Yes,No,Fiber optic,No,No,No,No,Yes,No internet service,Month-to-month,Yes,Credit card (automatic),46.09,1284.14,Yes
CUST-00041,Female,1,Yes,No,23,Yes,Yes,DSL,No,No,No internet service,No internet service,Yes,No internet service,Month-to-month,Yes,Credit card (automatic),96.32,2122.65,Yes
CUST-00042,Female,0,No,No,4,Yes,No,Fiber optic,No,No,Yes,No internet service,No,No,Month-to-month,Yes,Bank transfer (automatic),64.2,286.68,Yes
CUST-00043,Female,0,Yes,No,14,Yes,No,No,No internet service,No,No internet service,Yes,No,No internet service,Month-to-month,No,Electronic check,74.41,1074.78,Yes
CUST-00044,Male,0,Yes,No,25,No,No,Fiber optic,No internet service,No,Yes,No internet service,No,No internet service,Two year,Yes,Bank transfer (automatic),58.63,1579.51,No
CUST-00045,Female,0,No,No,1,Yes,Yes,Fiber optic,No,No internet service,No,No,No,No internet service,Month-to-month,Yes,Credit card (automatic),109.49,104.48,Yes
CUST-00046,Female,0,No,No,14,Yes,No phone service,No,No,Yes,No,No,No,No internet service,One year,No,Bank transfer (automatic),43.3,640.04,No
CUST-00047,Female,1,Yes,No,32,Yes,No,Fiber optic,No internet service,Yes,No,No,Yes,Yes,Month-to-month,No,Electronic check,81.09,2643.5,Yes
CUST-00048,Female,0,No,No,33,No,No phone service,No,Yes,No,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),79.49,2709.07,Yes
CUST-00049,Female,0,No,No,26,Yes,Yes,Fiber optic,Yes,No internet service,No,Yes,Yes,Yes,Month-to-month,No,Electronic check,49.48,1229.89,Yes
CUST-00050,Female,0,Yes,No,17,Yes,No,Fiber optic,No,No internet service,No,No,No,Yes,Month-to-month,No,Credit card (automatic),86.21,1510.26,Yes
CUST-00051,Female,0,No,No,46,Yes,No,DSL,No,Yes,No internet service,No internet service,Yes,Yes,Two year,Yes,Mailed check,48.41,2246.54,No
CUST-00052,Male,1,No,Yes,30,Yes,Yes,Fiber optic,No,Yes,No internet service,No,Yes,No,One year,No,Electronic check,52.05,1480.6,No
CUST-00053,Male,0,No,No,54,Yes,Yes,DSL,Yes,Yes,Yes,No internet service,No internet service,No,Two year,No,Mailed check,45.96,2505.39,No
CUST-00054,Female,0,No,No,40,Yes,No,DSL,Yes,Yes,No,Yes,Yes,No,Two year,Yes,Electronic check,35.51,1457.64,No
CUST-00055,Female,0,Yes,Yes,18,Yes,No,DSL,No internet service,No,No,Yes,No,No internet service,One year,Yes,Credit card (automatic),78.45,1327.68,No
CUST-00056,Male,0,Yes,No,49,Yes,No phone service,Fiber optic,No,Yes,Yes,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),42.37,2072.1,No
CUST-00057,Male,0,Yes,No,24,Yes,No,Fiber optic,No internet service,Yes,Yes,No internet service,Yes,Yes,Month-to-month,Yes,Electronic check,57.69,1388.55,Yes
CUST-00058,Female,0,No,Yes,24,Yes,Yes,Fiber optic,No,Yes,Yes,No internet service,Yes,No internet service,Month-to-month,No,Credit card (automatic),55.55,1335.61,Yes
CUST-00059,Male,0,Yes,No,11,Yes,No phone service,Fiber optic,Yes,Yes,No,Yes,Yes,No internet service,Month-to-month,No,Electronic check,58.37,673.33,Yes
CUST-00060,Male,0,Yes,Yes,22,Yes,Yes,No,No internet service,No internet service,No,Yes,Yes,No internet service,Month-to-month,No,Electronic check,77.03,1664.7,Yes
CUST-00061,Female,0,Yes,No,15,Yes,No,DSL,No,No internet service,Yes,Yes,No,Yes,Month-to-month,Yes,Electronic check,60.46,852.11,Yes
CUST-00062,Female,0,No,No,10,Yes,No,DSL,No,No,No,No internet service,No internet service,Yes,Month-to-month,Yes,Bank transfer (automatic),51.29,537.25,Yes
CUST-00063,Female,0,No,No,68,Yes,Yes,DSL,No internet service,No,No internet service,No,No internet service,No internet service,Two year,No,Electronic check,24.22,1725.26,No
CUST-00064,Female,0,Yes,Yes,9,Yes,No phone service,DSL,No internet service,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),80.09,795.71,Yes
CUST-00065,Female,0,Yes,No,28,Yes,No,Fiber optic,No,Yes,Yes,No internet service,No internet service,No,Month-to-month,No,Electronic check,55.2,1664.99,Yes
CUST-00066,Female,0,Yes,No,1,Yes,Yes,Fiber optic,Yes,No internet service,No,No,Yes,No,Month-to-month,No,Bank transfer (automatic),75.64,57.12,Yes
CUST-00067,Female,0,Yes,No,17,Yes,Yes,Fiber optic,Yes,No,Yes,No internet service,No internet service,Yes,Month-to-month,Yes,Bank transfer (automatic),49.44,832.15,Yes
CUST-00068,Female,1,No,No,41,Yes,No,Fiber optic,Yes,No,Yes,Yes,No,Yes,Two year,Yes,Electronic check,56.29,2200.47,No
CUST-00069,Male,0,No,No,10,Yes,No,Fiber optic,No,No,No internet service,No,Yes,Yes,Month-to-month,No,Electronic check,67.12,640.42,Yes
CUST-00070,Male,0,No,Yes,56,Yes,Yes,Fiber optic,No internet service,No,No,Yes,Yes,Yes,Two year,Yes,Electronic check,22.56,1184.43,No
CUST-00071,Female,0,Yes,Yes,52,Yes,No,Fiber optic,Yes,No,No,No,Yes,No internet service,One year,Yes,Electronic check,68.13,3525.64,No
CUST-00072,Female,1,Yes,No,6,Yes,Yes,Fiber optic,Yes,No internet service,No,No,Yes,No,Month-to-month,Yes,Mailed check,67.47,472.92,Yes
CUST-00073,Male,0,Yes,Yes,12,Yes,No,Fiber optic,No,Yes,No,Yes,No,No internet service,Month-to-month,No,Mailed check,97.42,1222.24,Yes
CUST-00074,Female,1,Yes,No,59,Yes,Yes,Fiber optic,No internet service,No internet service,No internet service,Yes,No,No,Two year,No,Electronic check,31.58,1846.47,No
CUST-00075,Male,0,Yes,No,13,Yes,No,Fiber optic,No,No,No,No internet service,No internet service,No,One year,Yes,Electronic check,57.28,715.92,No
CUST-00076,Female,0,Yes,Yes,57,Yes,No,No,No,No internet service,No,No internet service,No,No,One year,No,Bank transfer (automatic),48.41,2718.63,No
CUST-00077,Male,0,Yes,No,40,Yes,Yes,No,No,No,No,No internet service,No,No internet service,One year,No,Electronic check,66.17,2689.98,No
CUST-00078,Female,1,No,Yes,31,Yes,Yes,Fiber optic,No internet service,No internet service,No internet service,Yes,Yes,No internet service,Month-to-month,Yes,Bank transfer (automatic),50.87,1561.15,Yes
CUST-00079,Female,0,No,No,7,No,Yes,Fiber optic,No internet service,Yes,No,No,No,No internet service,Month-to-month,No,Electronic check,63.49,457.64,Yes
CUST-00080,Male,0,Yes,No,10,Yes,No,Fiber optic,No internet service,No,Yes,Yes,Yes,No,Month-to-month,No,Electronic check,62.08,654.26,Yes
CUST-00081,Female,0,No,No,59,Yes,Yes,Fiber optic,No,No internet service,No,Yes,No,No,Two year,Yes,Credit card (automatic),20.37,1239.13,No
CUST-00082,Male,0,Yes,No,55,Yes,No,Fiber optic,No,Yes,Yes,No,No internet service,Yes,One year,No,Bank transfer (automatic),63.13,3332.81,No
CUST-00083,Male,0,Yes,No,30,Yes,Yes,No,No,No internet service,No,No,No,Yes,Month-to-month,No,Electronic check,47.41,1450.4,Yes
CUST-00084,Male,1,No,No,3,Yes,Yes,DSL,No,No internet service,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,87.35,267.02,Yes
CUST-00085,Male,1,Yes,Yes,15,Yes,No,DSL,No,No,No,No internet service,No internet service,No,Month-to-month,No,Electronic check,109.25,1548.63,Yes
CUST-00086,Male,0,No,No,21,Yes,No,Fiber optic,No,No,No internet service,Yes,Yes,No,Month-to-month,No,Bank transfer (automatic),86.21,1879.55,Yes
CUST-00087,Male,1,No,Yes,38,Yes,No,Fiber optic,No,No internet service,No,No,No,No,One year,Yes,Credit card (automatic),60.17,2296.25,No
CUST-00088,Female,1,Yes,Yes,56,Yes,No,Fiber optic,Yes,No,No internet service,No internet service,No,No internet service,One year,No,Credit card (automatic),78.39,4312.59,No
CUST-00089,Male,0,No,Yes,62,Yes,No,DSL,Yes,No,Yes,Yes,No,Yes,Two year,Yes,Electronic check,42.63,2614.18,No
CUST-00090,Male,0,Yes,No,28,Yes,Yes,Fiber optic,No,Yes,No,No,No internet service,Yes,Month-to-month,Yes,Bank transfer (automatic),100.04,2790.58,Yes
CUST-00091,Male,0,Yes,No,23,Yes,No,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),85.42,2095.34,Yes
CUST-00092,Female,0,Yes,Yes,41,Yes,No,DSL,No,No,No,No,Yes,No,One year,No,Electronic check,56.93,2290.44,No
CUST-00093,Female,1,No,No,36,Yes,No phone service,No,No,No,No,No,Yes,Yes,One year,No,Mailed check,55.26,1954.77,No
CUST-00094,Male,0,Yes,No,42,Yes,No,Fiber optic,No internet service,No internet service,No,Yes,No,Yes,One year,Yes,Credit card (automatic),70.69,2977.95,No
CUST-00095,Male,0,Yes,Yes,38,Yes,No,No,No internet service,No internet service,No,Yes,No,No,One year,Yes,Mailed check,58.67,2336.57,No
CUST-00096,Female,0,Yes,No,33,Yes,No,Fiber optic,No internet service,Yes,No,No internet service,Yes,No,Month-to-month,Yes,Bank transfer (automatic),45.74,1497.91,Yes
CUST-00097,Female,1,Yes,Yes,16,Yes,No,Fiber optic,Yes,No,Yes,No,No,Yes,Month-to-month,Yes,Mailed check,65.36,1023.48,No
CUST-00098,Female,0,Yes,No,22,No,Yes,No,No,No internet service,Yes,Yes,No,No,Month-to-month,Yes,Mailed check,76.59,1694.07,Yes
CUST-00099,Male,1,No,Yes,18,Yes,No,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),83.99,1495.33,Yes
CUST-00100,Male,0,No,No,7,Yes,Yes,No,No,Yes,Yes,No,No internet service,No internet service,Month-to-month,Yes,Electronic check,105.75,723.0,Yes
CUST-00101,Male,0,No,Yes,26,No,No,Fiber optic,No,Yes,No,No internet service,No internet service,No,Month-to-month,Yes,Electronic check,60.54,1622.22,No
CUST-00102,Female,0,No,No,15,Yes,No,DSL,No,No,No,No internet service,Yes,No,One year,Yes,Mailed check,30.68,435.4,No
CUST-00103,Male,0,No,No,6,Yes,Yes,Fiber optic,No,No internet service,No internet service,No,No,No,Month-to-month,No,Electronic check,101.51,591.53,Yes
CUST-00104,Female,0,Yes,No,30,Yes,Yes,DSL,No,No internet service,Yes,Yes,No internet service,Yes,Month-to-month,No,Mailed check,106.22,3236.61,Yes
CUST-00105,Female,1,Yes,No,26,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Two year,No,Electronic check,45.56,1113.12,No
CUST-00106,Female,0,No,Yes,32,Yes,No,No,No,No internet service,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),52.49,1662.3,Yes
CUST-00107,Male,0,No,Yes,22,Yes,Yes,DSL,No,Yes,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),76.55,1600.89,Yes
CUST-00108,Female,0,Yes,No,21,Yes,No,No,Yes,No,No,Yes,Yes,No internet service,One year,No,Mailed check,58.18,1196.94,No
CUST-00109,Male,1,No,No,31,Yes,No phone service,Fiber optic,Yes,No internet service,Yes,Yes,Yes,No internet service,Month-to-month,Yes,Bank transfer (automatic),102.41,3157.08,Yes
CUST-00110,Male,0,No,No,7,No,No,Fiber optic,Yes,No internet service,Yes,No,No,No internet service,Month-to-month,Yes,Credit card (automatic),91.03,620.52,Yes
CUST-00111,Female,0,No,Yes,9,No,Yes,DSL,No,Yes,No,No internet service,No internet service,No,Month-to-month,Yes,Credit card (automatic),60.67,526.55,Yes
CUST-00112,Female,0,No,No,13,Yes,No,DSL,No,No,Yes,No,No internet service,No,Month-to-month,Yes,Credit card (automatic),102.63,1348.3,Yes
CUST-00113,Female,1,No,No,56,Yes,No,DSL,No,No,Yes,No,No,Yes,Two year,Yes,Credit card (automatic),45.9,2514.78,No
CUST-00114,Male,1,No,Yes,70,Yes,No phone service,DSL,No,Yes,No,Yes,No,Yes,Two year,No,Bank transfer (automatic),59.81,4205.96,No
CUST-00115,Female,0,No,No,30,Yes,No,DSL,No,Yes,No internet service,Yes,No,Yes,One year,Yes,Electronic check,73.11,2167.99,No
CUST-00116,Female,0,Yes,No,34,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,No,Two year,No,Electronic check,64.26,2222.86,No
CUST-00117,Female,1,No,Yes,69,Yes,Yes,Fiber optic,No,No,No internet service,No,No,Yes,Two year,No,Mailed check,50.95,3512.77,No
CUST-00118,Male,0,No,No,34,Yes,No,DSL,No,Yes,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),80.55,2709.1,Yes
CUST-00119,Male,1,No,No,48,Yes,No,Fiber optic,Yes,No,No,No,No,Yes,Two year,Yes,Electronic check,63.52,2983.42,No
CUST-00120,Male,0,No,Yes,35,Yes,No,Fiber optic,No,Yes,Yes,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),109.63,3851.71,Yes
CUST-00121,Female,1,No,No,67,Yes,Yes,DSL,No,Yes,Yes,Yes,No,Yes,Two year,No,Electronic check,22.44,1494.04,No
CUST-00122,Female,0,No,No,42,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,Two year,Yes,Mailed check,26.26,1176.23,No
CUST-00123,Male,0,No,No,6,No,No,Fiber optic,No,No internet service,No internet service,No,No internet service,Yes,Month-to-month,Yes,Mailed check,55.6,410.52,Yes
CUST-00124,Female,0,No,No,21,Yes,Yes,DSL,Yes,No internet service,No,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),94.65,1963.35,Yes
CUST-00125,Male,0,No,No,33,Yes,No,Fiber optic,No,No,No internet service,No internet service,No internet service,Yes,Month-to-month,Yes,Bank transfer (automatic),83.48,2636.83,Yes
CUST-00126,Female,0,Yes,Yes,32,Yes,Yes,DSL,Yes,Yes,No,No,Yes,Yes,Month-to-month,No,Mailed check,80.67,2625.78,Yes
CUST-00127,Female,0,No,Yes,61,Yes,No,DSL,Yes,Yes,No,No,No,No,Two year,Yes,Electronic check,28.64,1720.36,No
CUST-00128,Male,0,Yes,No,60,Yes,No,DSL,Yes,No,No,No,Yes,Yes,Two year,No,Bank transfer (automatic),30.3,1800.79,No
CUST-00129,Male,0,Yes,No,28,Yes,Yes,No,Yes,No,Yes,No internet service,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),100.77,2881.39,Yes
CUST-00130,Male,1,No,No,31,Yes,No,Fiber optic,Yes,No,Yes,No internet service,No,No,Month-to-month,No,Electronic check,64.69,2022.83,Yes
CUST-00131,Male,0,No,Yes,21,Yes,No,No,No internet service,Yes,No,Yes,No internet service,Yes,Month-to-month,No,Mailed check,59.36,1288.95,Yes
CUST-00132,Female,0,No,No,34,Yes,No,DSL,No internet service,Yes,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),88.56,3064.31,Yes
CUST-00133,Female,0,No,No,15,No,Yes,DSL,No,No,Yes,No,No,Yes,Month-to-month,Yes,Credit card (automatic),104.46,1558.45,Yes
CUST-00134,Male,0,No,No,14,Yes,Yes,Fiber optic,No,No,No,Yes,No,No,Month-to-month,No,Bank transfer (automatic),67.63,981.04,Yes
CUST-00135,Male,0,No,No,52,Yes,No,Fiber optic,No,No,No internet service,No,No internet service,No internet service,Two year,Yes,Electronic check,52.94,2758.37,No
CUST-00136,Female,0,Yes,No,15,Yes,Yes,Fiber optic,No,Yes,No internet service,No,Yes,No,Month-to-month,Yes,Credit card (automatic),59.7,922.43,Yes
CUST-00137,Male,0,Yes,No,6,Yes,No,No,No internet service,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,61.54,377.04,Yes
CUST-00138,Female,1,No,Yes,54,Yes,No,DSL,No,No internet service,Yes,No internet service,Yes,No,One year,Yes,Credit card (automatic),75.31,4134.68,No
CUST-00139,Female,1,Yes,Yes,20,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,Yes,Mailed check,83.79,1611.75,Yes
CUST-00140,Male,0,No,No,35,Yes,Yes,No,No,Yes,No internet service,Yes,Yes,No internet service,Two year,No,Credit card (automatic),48.79,1685.99,No
CUST-00141,Male,0,No,Yes,59,Yes,Yes,DSL,No,Yes,No,No,No,Yes,Two year,Yes,Electronic check,65.72,3873.22,No
CUST-00142,Male,0,No,No,18,Yes,No,Fiber optic,No internet service,No,No,Yes,No,No internet service,Month-to-month,No,Mailed check,50.4,913.18,Yes
CUST-00143,Female,1,No,No,28,Yes,No,No,No,No internet service,No internet service,No,No internet service,Yes,Month-to-month,Yes,Bank transfer (automatic),52.5,1406.0,Yes
CUST-00144,Female,0,No,No,9,Yes,No,Fiber optic,No,No internet service,No,No,No,No internet service,Month-to-month,No,Mailed check,79.85,681.46,Yes
CUST-00145,Female,0,No,No,32,Yes,Yes,Fiber optic,Yes,No internet service,No,No internet service,Yes,No internet service,Month-to-month,Yes,Mailed check,78.25,2505.83,Yes
CUST-00146,Female,0,No,Yes,6,Yes,No,Fiber optic,No,Yes,No internet service,No,No internet service,No,Month-to-month,No,Electronic check,62.65,348.7,Yes
CUST-00147,Male,1,No,No,48,Yes,Yes,DSL,No,No,Yes,Yes,No,Yes,One year,No,Credit card (automatic),73.14,3424.91,No
CUST-00148,Male,0,Yes,No,28,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,No internet service,Yes,Month-to-month,Yes,Mailed check,57.16,1582.19,No
CUST-00149,Female,0,No,No,24,Yes,No,DSL,No,No,No internet service,No,No,No,Month-to-month,No,Credit card (automatic),68.44,1581.96,Yes
CUST-00150,Female,0,Yes,Yes,13,Yes,No,DSL,No,No,No internet service,Yes,No,No,Month-to-month,Yes,Mailed check,81.11,1084.46,Yes
CUST-00151,Male,0,No,No,44,Yes,Yes,DSL,No,No,No,No,No internet service,No,Two year,Yes,Mailed check,31.89,1417.98,No
CUST-00152,Male,0,No,Yes,19,No,Yes,DSL,No,Yes,No,No internet service,Yes,No,Month-to-month,Yes,Electronic check,72.21,1416.95,No
CUST-00153,Female,0,Yes,No,21,Yes,No,DSL,No internet service,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,70.91,1499.51,Yes
CUST-00154,Female,0,No,Yes,27,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,82.67,2178.41,Yes
CUST-00155,Male,0,No,No,67,Yes,Yes,No,No,No internet service,Yes,No,No,No,Two year,Yes,Electronic check,40.92,2584.56,No
CUST-00156,Male,0,No,Yes,24,Yes,No phone service,DSL,No,Yes,No internet service,No,Yes,Yes,Month-to-month,Yes,Mailed check,91.1,2243.46,Yes
CUST-00157,Male,0,No,No,43,Yes,Yes,DSL,No internet service,No,No,No internet service,No,No,One year,Yes,Electronic check,46.05,1958.98,No
CUST-00158,Female,0,Yes,Yes,56,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,One year,Yes,Bank transfer (automatic),55.37,2989.33,No
CUST-00159,Female,1,Yes,Yes,18,Yes,Yes,DSL,No internet service,No internet service,No,No,Yes,No,Month-to-month,No,Mailed check,62.7,1207.03,Yes
CUST-00160,Male,0,No,No,39,Yes,No phone service,Fiber optic,Yes,No internet service,No,Yes,Yes,Yes,One year,Yes,Electronic check,65.41,2579.85,No
CUST-00161,Female,0,Yes,No,17,Yes,No phone service,Fiber optic,No,Yes,No internet service,Yes,Yes,No,Month-to-month,No,Credit card (automatic),65.57,1192.35,No
CUST-00162,Male,0,No,No,21,Yes,Yes,DSL,No,No,No,No internet service,Yes,Yes,One year,Yes,Bank transfer (automatic),58.16,1242.73,No
CUST-00163,Female,0,Yes,No,31,Yes,No,No,Yes,No,Yes,Yes,No,No,One year,Yes,Electronic check,84.79,2661.58,No
CUST-00164,Female,0,No,Yes,4,Yes,Yes,DSL,No internet service,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),60.99,218.55,Yes
CUST-00165,Male,0,Yes,No,10,Yes,Yes,No,No,No internet service,Yes,No,Yes,No,Month-to-month,No,Credit card (automatic),59.7,632.59,Yes
CUST-00166,Male,0,Yes,Yes,52,Yes,No,Fiber optic,No,Yes,Yes,No,No internet service,No internet service,Two year,Yes,Credit card (automatic),50.04,2698.73,No
CUST-00167,Female,0,No,No,31,Yes,No,DSL,No,No,No internet service,Yes,No,No,Month-to-month,No,Electronic check,65.07,2058.63,Yes
CUST-00168,Male,0,No,Yes,3,Yes,Yes,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),67.01,183.21,Yes
CUST-00169,Female,0,Yes,No,2,Yes,No,Fiber optic,No,Yes,No,No,No internet service,Yes,Month-to-month,Yes,Bank transfer (automatic),57.8,50.1,Yes
CUST-00170,Female,0,Yes,No,22,Yes,No,Fiber optic,No internet service,No,No internet service,No,No,No,One year,No,Electronic check,47.98,1112.75,No
CUST-00171,Male,0,No,No,18,Yes,No phone service,No,No internet service,No,Yes,No,Yes,No,One year,No,Mailed check,34.73,628.09,No
CUST-00172,Male,0,No,No,26,Yes,Yes,DSL,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Mailed check,61.08,1593.29,Yes
